state_abbr	state	city
AL	Alabama	Acmar
AL	Alabama	Adamsville
AL	Alabama	Adger
AL	Alabama	Keystone
AL	Alabama	New Site
AL	Alabama	Alpine
AL	Alabama	Arab
AL	Alabama	Baileyton
AL	Alabama	Bessemer
AL	Alabama	Hueytown
AL	Alabama	Blountsville
AL	Alabama	Bremen
AL	Alabama	Brent
AL	Alabama	Brierfield
AL	Alabama	Calera
AL	Alabama	Centreville
AL	Alabama	Chelsea
AL	Alabama	Coosa Pines
AL	Alabama	Clanton
AL	Alabama	Cleveland
AL	Alabama	Columbiana
AL	Alabama	Crane Hill
AL	Alabama	Cropwell
AL	Alabama	Cullman
AL	Alabama	Dolomite
AL	Alabama	Dora
AL	Alabama	Empire
AL	Alabama	Fairfield
AL	Alabama	Coalburg
AL	Alabama	Gardendale
AL	Alabama	Goodwater
AL	Alabama	Alden
AL	Alabama	Hanceville
AL	Alabama	Harpersville
AL	Alabama	Hayden
AL	Alabama	Helena
AL	Alabama	Holly Pond
AL	Alabama	Jemison
AL	Alabama	Joppa
AL	Alabama	Kellyton
AL	Alabama	Kimberly
AL	Alabama	Leeds
AL	Alabama	Lincoln
AL	Alabama	Logan
AL	Alabama	Mc Calla
AL	Alabama	Maylene
AL	Alabama	Montevallo
AL	Alabama	Morris
AL	Alabama	Mount Olive
AL	Alabama	Sylvan Springs
AL	Alabama	Odenville
AL	Alabama	Oneonta
AL	Alabama	Indian Springs
AL	Alabama	Pell City
AL	Alabama	Dixiana
AL	Alabama	Pleasant Grove
AL	Alabama	Quinton
AL	Alabama	Ragland
AL	Alabama	Remlap
AL	Alabama	Riverside
AL	Alabama	Rockford
AL	Alabama	Shelby
AL	Alabama	Springville
AL	Alabama	Sterrett
AL	Alabama	Sumiton
AL	Alabama	Sylacauga
AL	Alabama	Talladega
AL	Alabama	Thorsby
AL	Alabama	Trafford
AL	Alabama	Trussville
AL	Alabama	Union Grove
AL	Alabama	Vandiver
AL	Alabama	Vincent
AL	Alabama	Vinemont
AL	Alabama	Warrior
AL	Alabama	Weogufka
AL	Alabama	West Blocton
AL	Alabama	Wilsonville
AL	Alabama	Woodstock
AL	Alabama	Birmingham
AL	Alabama	Homewood
AL	Alabama	Irondale
AL	Alabama	Crestline Height
AL	Alabama	Center Point
AL	Alabama	Vestavia Hills
AL	Alabama	Mountain Brook
AL	Alabama	Bluff Park
AL	Alabama	Midfield
AL	Alabama	Shoal Creek
AL	Alabama	Cahaba Heights
AL	Alabama	Hoover
AL	Alabama	Tuscaloosa
AL	Alabama	Holt
AL	Alabama	Stewart
AL	Alabama	Aliceville
AL	Alabama	Boligee
AL	Alabama	Brookwood
AL	Alabama	Buhl
AL	Alabama	Carrollton
AL	Alabama	Coker
AL	Alabama	Cottondale
AL	Alabama	Duncanville
AL	Alabama	Echola
AL	Alabama	Elrod
AL	Alabama	Emelle
AL	Alabama	Epes
AL	Alabama	Ethelsville
AL	Alabama	Eutaw
AL	Alabama	Fosters
AL	Alabama	Gainesville
AL	Alabama	Gordo
AL	Alabama	Knoxville
AL	Alabama	Coatopa
AL	Alabama	Cypress
AL	Alabama	Northport
AL	Alabama	Ralph
AL	Alabama	Reform
AL	Alabama	Vance
AL	Alabama	Jasper
AL	Alabama	Addison
AL	Alabama	Arley
AL	Alabama	Bankston
AL	Alabama	Bear Creek
AL	Alabama	Beaverton
AL	Alabama	Berry
AL	Alabama	Brilliant
AL	Alabama	Carbon Hill
AL	Alabama	Cordova
AL	Alabama	Detroit
AL	Alabama	Double Springs
AL	Alabama	Eldridge
AL	Alabama	Fayette
AL	Alabama	Guin
AL	Alabama	Hackleburg
AL	Alabama	Haleyville
AL	Alabama	Hamilton
AL	Alabama	Hodges
AL	Alabama	Houston
AL	Alabama	Kennedy
AL	Alabama	Lynn
AL	Alabama	Millport
AL	Alabama	Nauvoo
AL	Alabama	Oakman
AL	Alabama	Parrish
AL	Alabama	Phil Campbell
AL	Alabama	Red Bay
AL	Alabama	Spruce Pine
AL	Alabama	Sulligent
AL	Alabama	Townley
AL	Alabama	Vernon
AL	Alabama	Vina
AL	Alabama	Winfield
AL	Alabama	Decatur
AL	Alabama	Anderson
AL	Alabama	Athens
AL	Alabama	Cherokee
AL	Alabama	Courtland
AL	Alabama	Danville
AL	Alabama	Elkmont
AL	Alabama	Eva
AL	Alabama	Falkville
AL	Alabama	Florence
AL	Alabama	Hartselle
AL	Alabama	Hillsboro
AL	Alabama	Killen
AL	Alabama	Leighton
AL	Alabama	Lester
AL	Alabama	Lexington
AL	Alabama	Moulton
AL	Alabama	Mount Hope
AL	Alabama	Rogersville
AL	Alabama	Russellville
AL	Alabama	Sheffield
AL	Alabama	Muscle Shoals
AL	Alabama	Somerville
AL	Alabama	Tanner
AL	Alabama	Town Creek
AL	Alabama	Trinity
AL	Alabama	Tuscumbia
AL	Alabama	Waterloo
AL	Alabama	Ardmore
AL	Alabama	Bridgeport
AL	Alabama	Brownsboro
AL	Alabama	Dutton
AL	Alabama	Estillfork
AL	Alabama	Fackler
AL	Alabama	Grant
AL	Alabama	Gurley
AL	Alabama	Harvest
AL	Alabama	Hazel Green
AL	Alabama	Hollytree
AL	Alabama	Hollywood
AL	Alabama	Laceys Spring
AL	Alabama	Langston
AL	Alabama	Triana
AL	Alabama	Meridianville
AL	Alabama	New Hope
AL	Alabama	New Market
AL	Alabama	Big Cove
AL	Alabama	Paint Rock
AL	Alabama	Pisgah
AL	Alabama	Princeton
AL	Alabama	Hytop
AL	Alabama	Section
AL	Alabama	Stevenson
AL	Alabama	Toney
AL	Alabama	Trenton
AL	Alabama	Valhermoso Sprin
AL	Alabama	Woodville
AL	Alabama	Huntsville
AL	Alabama	Southside
AL	Alabama	Hokes Bluff
AL	Alabama	Gadsden
AL	Alabama	Glencoe
AL	Alabama	Albertville
AL	Alabama	Snead
AL	Alabama	Ashville
AL	Alabama	Attalla
AL	Alabama	Boaz
AL	Alabama	Bryant
AL	Alabama	Cedar Bluff
AL	Alabama	Centre
AL	Alabama	Collinsville
AL	Alabama	Crossville
AL	Alabama	Dawson
AL	Alabama	Flat Rock
AL	Alabama	Fort Payne
AL	Alabama	Fyffe
AL	Alabama	Gallant
AL	Alabama	Gaylesville
AL	Alabama	Geraldine
AL	Alabama	Groveoak
AL	Alabama	Guntersville
AL	Alabama	Henagar
AL	Alabama	Higdon
AL	Alabama	Horton
AL	Alabama	Ider
AL	Alabama	Leesburg
AL	Alabama	Mentone
AL	Alabama	Rainsville
AL	Alabama	Steele
AL	Alabama	Sylvania
AL	Alabama	Valley Head
AL	Alabama	Autaugaville
AL	Alabama	Eufaula
AL	Alabama	Banks
AL	Alabama	Billingsley
AL	Alabama	Brantley
AL	Alabama	Brundidge
AL	Alabama	Cecil
AL	Alabama	Clayton
AL	Alabama	Clio
AL	Alabama	Deatsville
AL	Alabama	Eclectic
AL	Alabama	Elmore
AL	Alabama	Equality
AL	Alabama	Dozier
AL	Alabama	Fitzpatrick
AL	Alabama	Forest Home
AL	Alabama	Fort Davis
AL	Alabama	Fort Deposit
AL	Alabama	Georgiana
AL	Alabama	Glenwood
AL	Alabama	Goshen
AL	Alabama	Grady
AL	Alabama	Greenville
AL	Alabama	Gantt
AL	Alabama	Hardaway
AL	Alabama	Hayneville
AL	Alabama	Highland Home
AL	Alabama	Honoraville
AL	Alabama	Hope Hull
AL	Alabama	Lapine
AL	Alabama	Letohatchee
AL	Alabama	Louisville
AL	Alabama	Luverne
AL	Alabama	Marbury
AL	Alabama	Mathews
AL	Alabama	Midway
AL	Alabama	Millbrook
AL	Alabama	Perote
AL	Alabama	Pike Road
AL	Alabama	Prattville
AL	Alabama	Ramer
AL	Alabama	Rutledge
AL	Alabama	Shorter
AL	Alabama	Tallassee
AL	Alabama	Titus
AL	Alabama	Troy
AL	Alabama	Tuskegee
AL	Alabama	Tuskegee Institu
AL	Alabama	Union Springs
AL	Alabama	Verbena
AL	Alabama	Wetumpka
AL	Alabama	Montgomery
AL	Alabama	Maxwell A F B
AL	Alabama	Gunter Afs
AL	Alabama	Anniston
AL	Alabama	Oxford
AL	Alabama	Fort Mc Clellan
AL	Alabama	Alexandria
AL	Alabama	Ashland
AL	Alabama	Cragford
AL	Alabama	Daviston
AL	Alabama	Delta
AL	Alabama	Eastaboga
AL	Alabama	Fruithurst
AL	Alabama	Graham
AL	Alabama	Heflin
AL	Alabama	Jacksonville
AL	Alabama	Lineville
AL	Alabama	Millerville
AL	Alabama	Munford
AL	Alabama	Muscadine
AL	Alabama	Newell
AL	Alabama	Ohatchee
AL	Alabama	Piedmont
AL	Alabama	Ranburne
AL	Alabama	Rock Mills
AL	Alabama	Wadley
AL	Alabama	Weaver
AL	Alabama	Wedowee
AL	Alabama	Wellington
AL	Alabama	Woodland
AL	Alabama	Taylor
AL	Alabama	Napier Field
AL	Alabama	Abbeville
AL	Alabama	Ariton
AL	Alabama	Ashford
AL	Alabama	Black
AL	Alabama	Chancellor
AL	Alabama	Clopton
AL	Alabama	Coffee Springs
AL	Alabama	Columbia
AL	Alabama	Cottonwood
AL	Alabama	Daleville
AL	Alabama	Elba
AL	Alabama	Enterprise
AL	Alabama	Geneva
AL	Alabama	Gordon
AL	Alabama	Hartford
AL	Alabama	Headland
AL	Alabama	Jack
AL	Alabama	Malvern
AL	Alabama	Midland City
AL	Alabama	New Brockton
AL	Alabama	Newton
AL	Alabama	Newville
AL	Alabama	Ozark
AL	Alabama	Fort Rucker
AL	Alabama	Pansey
AL	Alabama	Shorterville
AL	Alabama	Skipperville
AL	Alabama	Slocomb
AL	Alabama	Webb
AL	Alabama	Evergreen
AL	Alabama	Allen
AL	Alabama	Andalusia
AL	Alabama	Beatrice
AL	Alabama	East Brewton
AL	Alabama	Castleberry
AL	Alabama	Coy
AL	Alabama	Dickinson
AL	Alabama	Flomaton
AL	Alabama	Florala
AL	Alabama	Franklin
AL	Alabama	Frisco City
AL	Alabama	Fulton
AL	Alabama	Grove Hill
AL	Alabama	Kinston
AL	Alabama	Lenox
AL	Alabama	Mc Kenzie
AL	Alabama	Monroeville
AL	Alabama	Opp
AL	Alabama	Peterman
AL	Alabama	Range
AL	Alabama	Red Level
AL	Alabama	Repton
AL	Alabama	Samson
AL	Alabama	Uriah
AL	Alabama	Vredenburgh
AL	Alabama	Whatley
AL	Alabama	Wing
AL	Alabama	Atmore
AL	Alabama	Axis
AL	Alabama	Bay Minette
AL	Alabama	Bayou La Batre
AL	Alabama	Bigbee
AL	Alabama	Bon Secour
AL	Alabama	Carlton
AL	Alabama	Chatom
AL	Alabama	Chunchula
AL	Alabama	Citronelle
AL	Alabama	Coden
AL	Alabama	Coffeeville
AL	Alabama	Creola
AL	Alabama	Daphne
AL	Alabama	Spanish Fort
AL	Alabama	Dauphin Island
AL	Alabama	Deer Park
AL	Alabama	Elberta
AL	Alabama	Fairhope
AL	Alabama	Foley
AL	Alabama	Frankville
AL	Alabama	Fruitdale
AL	Alabama	Gainestown
AL	Alabama	Grand Bay
AL	Alabama	Fort Morgan
AL	Alabama	Irvington
AL	Alabama	Jackson
AL	Alabama	Leroy
AL	Alabama	Lillian
AL	Alabama	Little River
AL	Alabama	Loxley
AL	Alabama	Mc Intosh
AL	Alabama	Magnolia Springs
AL	Alabama	Millry
AL	Alabama	Mount Vernon
AL	Alabama	Orange Beach
AL	Alabama	Perdido
AL	Alabama	Robertsdale
AL	Alabama	Saint Stephens
AL	Alabama	Salitpa
AL	Alabama	Saraland
AL	Alabama	Satsuma
AL	Alabama	Seminole
AL	Alabama	Semmes
AL	Alabama	Silverhill
AL	Alabama	Stockton
AL	Alabama	Summerdale
AL	Alabama	Theodore
AL	Alabama	Tibbie
AL	Alabama	Vinegar Bend
AL	Alabama	Wagarville
AL	Alabama	Walker Springs
AL	Alabama	Wilmer
AL	Alabama	Mobile
AL	Alabama	Prichard
AL	Alabama	Chickasaw
AL	Alabama	Eight Mile
AL	Alabama	Brookley Field
AL	Alabama	Selma
AL	Alabama	Alberta
AL	Alabama	Arlington
AL	Alabama	Camden
AL	Alabama	Campbell
AL	Alabama	Catherine
AL	Alabama	Demopolis
AL	Alabama	Dixons Mills
AL	Alabama	Faunsdale
AL	Alabama	Forkland
AL	Alabama	Gallion
AL	Alabama	Greensboro
AL	Alabama	Linden
AL	Alabama	Jones
AL	Alabama	Maplesville
AL	Alabama	Lower Peach Tree
AL	Alabama	Burkville
AL	Alabama	Magnolia
AL	Alabama	Marion
AL	Alabama	Plantersville
AL	Alabama	Marion Junction
AL	Alabama	Boys Ranch
AL	Alabama	Morvin
AL	Alabama	Newbern
AL	Alabama	Orrville
AL	Alabama	Pine Apple
AL	Alabama	Pine Hill
AL	Alabama	Prairie
AL	Alabama	Safford
AL	Alabama	Sardis
AL	Alabama	Sawyerville
AL	Alabama	Sprott
AL	Alabama	Sweet Water
AL	Alabama	Thomaston
AL	Alabama	Thomasville
AL	Alabama	Benton
AL	Alabama	Uniontown
AL	Alabama	Stanton
AL	Alabama	Randolph
AL	Alabama	Lawley
AL	Alabama	Opelika
AL	Alabama	Auburn
AL	Alabama	Camp Hill
AL	Alabama	Cusseta
AL	Alabama	Dadeville
AL	Alabama	Valley
AL	Alabama	Five Points
AL	Alabama	Hatchechubbee
AL	Alabama	Hurtsboro
AL	Alabama	Jacksons Gap
AL	Alabama	Lafayette
AL	Alabama	Lanett
AL	Alabama	Notasulga
AL	Alabama	Phenix City
AL	Alabama	Pittsview
AL	Alabama	Salem
AL	Alabama	Seale
AL	Alabama	Smiths
AL	Alabama	Waverly
AL	Alabama	Butler
AL	Alabama	Cuba
AL	Alabama	Gilbertown
AL	Alabama	Jachin
AL	Alabama	Lisman
AL	Alabama	Needham
AL	Alabama	Pennington
AL	Alabama	Silas
AL	Alabama	Toxey
AL	Alabama	Ward
AL	Alabama	York
AK	Alaska	98791
AK	Alaska	Anchorage
AK	Alaska	Fort Richardson
AK	Alaska	Elmendorf Afb
AK	Alaska	Port Heiden
AK	Alaska	Akiachak
AK	Alaska	Akiak
AK	Alaska	Akutan
AK	Alaska	Alakanuk
AK	Alaska	Aleknagik
AK	Alaska	Nikolaevsk
AK	Alaska	Chuathbaluk
AK	Alaska	Anvik
AK	Alaska	Atmautluak
AK	Alaska	Chefornak
AK	Alaska	Chevak
AK	Alaska	Chignik
AK	Alaska	Chignik Lagoon
AK	Alaska	Chugiak
AK	Alaska	Clam Gulch
AK	Alaska	Clarks Point
AK	Alaska	Nelson Lagoon
AK	Alaska	Cooper Landing
AK	Alaska	Copper Center
AK	Alaska	Chenega Bay
AK	Alaska	Crooked Creek
AK	Alaska	Koliganek
AK	Alaska	Eagle River
AK	Alaska	Eek
